,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
28,Aadya Eye Hospital,Gujarat,Ahmedabad,"Near Saijpur Tower, Janata Market.",380045,Eye Hospital or Ophthalmology Clinic,Government,3.5
29,Aagman Hospital,Gujarat,Rajkot,Madhav Vatika Raiya Road.,360007,Psychiatric Hospital or Mental Health Clinic,Government,4.7
30,Aakar Hospital,Gujarat,Rajkot,"Virani School Chowk,Opp Punjab Bank,Ramkrishna Nagar Main Road,",360002,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,5
31,Aakash Eye Hospital,Gujarat,Mehsana,"A 19-20,Suraksha Society,Near B.Ed.College,Visnagar,Shivmarket",384315,Cardiology Center,Voluntary non-profit ,4.3
32,Aakash Hospital,Delhi,Delhi,"90/43, Malviya Nagar, New Delhi",110017,General Hospital,Proprietary,3.7
33,Aakash Hospital,Tamilnadu,Chennai,"# 393/1, T.H. Road, (Annexe) 393/1, Tiruvottiyur.Tiruvallur",600019,Dental Clinic,Private,4.5
34,Aakashdeep Hospital,Maharashtra,Koparkhairane,"# 98, Sector-7, Koperkhairna,Navi Mumbai-400709.",400709,Maternity Hospital or Birthing Center,Government,3.5
35,Aalok Ortho Care,Gujarat,Ahmedabad,"#8, Vidhyavihar Colony, Opp Hotel Fortune Lankmark, Usmanpura, Ahmedabad, Gujarat",380014,Psychiatric Hospital or Mental Health Clinic,Government,3.2
36,Aarif Nursing Home,Andhra Pradesh,Vizag,"Lakshmi Street,Near Income Tax Office",530020,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.5
37,Aarogya Hospital (A Unit Of Kastura Medicos Limited,Uttar Pradesh,Vaishali,"Plot No-Nh-1, Sec-6, Vaishali, Ghaziabad, Uttar Pradesh",201010,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.2
38,Aarogyam Multispeciality Hospital,Maharashtra,Mumbai,"1St Floor, Renuka Bldg, Appo Mangala High School, Above Bank, Maharashtra, Mumbaimumbai",400603,Maternity Hospital or Birthing Center,Private,3.6
39,Aarthi Hospital,Tamilnadu,Tirunelveli,"60,Santhaipettai Street",628502,Maternity Hospital or Birthing Center,Proprietary,3.5
40,Aarthy Eye Hospital,Tamilnadu,Karur,"#16, Sengunthapuram Main Road, Karur.",639002,Cardiology Center,Government,4.6
41,Aaruni Hospital Pvt Ltd,Gujarat,Rajkot,"Next To Holy Saint School,Kalawad Road",360001,General Hospital,Private,3.5
42,Aaryan Institute Of Medical Sciences,Gujarat,Kutch,"Navanaka,Mandvi,Near Opp Sawmi Narayana Mandir",370465,Eye Hospital or Ophthalmology Clinic,Proprietary,4.2
43,Aasha Hospitals,Andhra Pradesh,Ananthapur,"7-201,Court Road,Anantapur",515001,Pediatric Hospital,Voluntary non-profit ,3.9
44,Aashirwad Hospital,Haryana,Gurgaon,"G-121, Oriental Villa, Sushant Lok-Iii, Sector-57.",125001,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.2
45,Aashirwad Hospital,Maharashtra,Thane,"Om Shraddha Tower, Above Tdcc Bank Pune Link Road, Tisgaon, Kalyan Est, Thane.",421306,Pediatric Hospital,Government,3.8
46,Aashirwad Nursing Home,Maharashtra,Mumbai,"Ashirwad, Swami Samarth Nagar, 2Nd Cross Lane, Lokhandwala Complex, Andheri West",400053,Cardiology Center,Government,3.4
47,Aashirwad Nursing Home & Iccu,Maharashtra,Mumbai,"A3, New Green Apartments,Tilak Chowk, Turel Pakhadi Roa",400064,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.2
48,Aashirwad Nursing Home (Heart And Diabetes Center),Delhi,New Delhi,"A-29/3, Lions Enclave, Marble Block, Vikas Nagar, Uttam Nagar, New Delhi-110059",110059,Orthopedic Hospital or Clinic,Government,3.7
49,Aashlok Nursing Home Pvt Ltd,Delhi,Delhi,"#25A, Block-Ab, Community Centre,Safdarjung Enclave, Newdelhi-110029",110029,Cardiology Center,Government,3.4
50,Aastha Eye Centre,Haryana,Faridabad,"5-R/5 N.I.T, Near Neelam Petrol Pump, Faridabad-121001",121001,Cancer Treatment Center or Oncology Hospital,Private,4.7
51,Aastha Hospital,Delhi,Delhi,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",110018,Eye Hospital or Ophthalmology Clinic,Government,3.9
52,Aastha Hospital,Maharashtra,Thane,"No.104,New Krishna Housing Society,Near Dhuri Motors,Ambadi Road,Vasai(W),Thane,",401202,Cardiology Center,Proprietary,3.2
53,Aastha Hospital,Maharashtra,Ulhasnagar,Hospital Area Ulhasnagar -3Thane,421003,Cancer Treatment Center or Oncology Hospital,Proprietary,4.3
54,Aastha Kidney & Multispecialty Hospital,Rajasthan,Sriganganagar,"2-D-1, Sukhadia Nagar, Sri Ganganagar, Rajasthan",335001,Cardiology Center,Voluntary non-profit ,3.9
55,Aayush Eye Clinic,Maharashtra,Mumbai,"201, Coral Classic,20Th Road.",400071,Maternity Hospital or Birthing Center,Private,5
56,Aayushmaan Hospital,Uttar Pradesh,Bijnor,Kiratpur Road,246701,Eye Hospital or Ophthalmology Clinic,Government,4.5
57,Aayushman The Family Hospital,Andhra Pradesh,Kurnool,"D.No.45/145A1,Venkataramana Colony",518003,Cardiology Center,Voluntary non-profit ,3.6
58,Abc Hospitals,Andhra Pradesh,Visakhapatnam,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta, Visakhapatnam, Visakha, Andhrapradesh-530002",530002,Psychiatric Hospital or Mental Health Clinic,Government,3.3
59,Abdul Khadir Hospital,Tamilnadu,Nagercoil,"Parakkai Road,Elankadai,Kottar",629002,Psychiatric Hospital or Mental Health Clinic,Government,5
60,Abha Nursing Home (P) Ltd,Uttar Pradesh,Kanpur,"10/503-B, Allengami, Kanpur",208002,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.6
61,Abhaya Critical Care,Andhra Pradesh,Vizag,"18-1-34, Opp. K.G.H. Gatemaharanipeta,",530002,Pediatric Hospital,Government,4.4
62,Abhaya Emergency Centre Sri Hospitals,Andhra Pradesh,Rajamundry,"79-1-4/1, J.N. Road",533103,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.3
63,Abhaya Eye Hospital,Karnataka,Bangalore,"#77,Bsk 3Rd Stage, 100Ft Ring Road,5Th Block.",560085,General Hospital,Private,4.6
64,Abhaya Hospital,Karnataka,Belthangady,"1-78D, Jainpeta, Belthangaby, Dakshina Kannada, Karnataka",574214,Orthopedic Hospital or Clinic,Private,3.5
65,Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),Karnataka,Bangalore,"17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore",560027,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.1
66,Abhaya- Bbc Children Hospital,Andhra Pradesh,Hyderabad,"Hindi Maha Vidyalaya Complex, O.U. Road, Vidya Nagar.",500044,Cardiology Center,Government,3.3
67,Abhi Sai Hospitals,Andhra Pradesh,Miryalaguda,"Doctor'S Colony,Miryalguda",508207,Orthopedic Hospital or Clinic,Government,4.8
68,Abhijay Hospital (P) Ltd.,Tamilnadu,Chennai,"No.22/2, E.S.I Hospital Road,Peravallur,",600011,Cancer Treatment Center or Oncology Hospital,Proprietary,5
69,Abhijit Hospital,Maharashtra,Mumbai,Divya Trusha Mamlatdar Wadiroad Malad (West),400064,"ENT Clinic -Ear, Nose, and Throat",Government,4.2
70,Abhilash Hospital & Sara Rehabilitation Centre,Karnataka,Bangalore,"#271, 1Ooft Ring Road, 5Th Block,3Rd Phase, 3Rd Stage,Banashankri.",560085,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.3
71,Abhilasha Hospital,Punjab,Chandigarh,House No 201 Sector 35 A,160022,General Hospital,Voluntary non-profit ,4.9
72,Abhinandan Hospital,Bihar,Patna,"0/60, Doctors Colony, Kankar Baga",800020,Psychiatric Hospital or Mental Health Clinic,Government,3.1
73,Abhinav Drishti Eye Hospital,Uttar Pradesh,Lucknow,"B-719, Sector-C, Mahanagar Lucknow",226006,General Hospital,Proprietary,4.7
74,Abhinav Multispeciality Hospital,Maharashtra,Nagpur,"Naya Nakasha, Lashkari Bagh.",440017,Maternity Hospital or Birthing Center,Government,3.5
75,Abhiram Institute Of Medical Sciences,Andhra Pradesh,Nellore,"Opp Aps Rtc Depot, Atmakur, Nellore",524322,Pediatric Hospital,Voluntary non-profit ,4.2
76,Abhishek Nethradhama,Karnataka,Bangalore,"Mosque Complex, Opp Rajkamar Talkies, Fort Road,",561203,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.6
77,Abhishek Nursing Home (L.P.Diagnostics Pvt. Ltd.),Maharashtra,Mumbai,"Jagruti Co-Op.Soci Bhatwadi,Ghatkopm- (W), Mumbai - 400084Near Maratha Mandir,Co-Op Bank",400084,"ENT Clinic -Ear, Nose, and Throat",Private,4.7
78,Abinand Hospital,Tamilnadu,Coimbatore,"237-F/7, Pollachi Main Road,Sundarapuram, Coimbatore",641024,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.7
79,Abiraami Hospital,Tamilnadu,Cuddalore,"24-Alc,Campus,Manjakuppam",607001,Eye Hospital or Ophthalmology Clinic,Government,4.9
80,Acchutha Eye Care,Tamilnadu,Erode,"#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, Erode-638009",638009,Maternity Hospital or Birthing Center,Private,3.5
81,Accident Fracture And Orthopedic Hospital,Gujarat,Gandhinagar,"Near Green Park Dunetha Road , Nani Daman, Gandhinagar, Gujarat-382010",382010,Dental Clinic,Voluntary non-profit ,4
82,Ace Heart & Vascular Institute. (A Unit Of Prime Cardiac Care Pvt. Ltd.),Punjab,Mohali,"Sector-69,Shivalik Hospital",160055,Orthopedic Hospital or Clinic,Private,4.3
83,Acharya Shri Chander College Of Medical Sciences & Hospital,Jammu & Kashmir,Jammu,"P.B # 5, Hpo Gandhi Nagar,Jammu-180017.",180017,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.3
84,Acharya Tulsi Jain Hospital,Karnataka,Bangalore,"Mom(M)W6-P-6,#22/2-1,6Th Cross,K.N Extension",560022,Pediatric Hospital,Voluntary non-profit ,3.2
85,Acharya Vinoba Bhave Rural Hospital,Maharashtra,Wardha,"Yavatmal Road,Sawangi (Meghe)Wardha-442004.",442004,Cardiology Center,Voluntary non-profit ,4.3
86,Achyut Pandit Hospital,Karnataka,Karwar,"Kumbeswar Temple Road,Kumta",581343,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.9
87,Action Cancer Hospital,Delhi,Delhi,"H-2/Fc-34,A4 Pashim Vihar",110063,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.5
88,Acura Health Care Pvt Ltd,Karnataka,Bangalore,"#435,18Th Main,Koramangala 6Th Block(Near Ndoor Stadium)",560095,General Hospital,Government,5
89,Adarsh Hospital,Andhra Pradesh,Eastgodavari,"86-26-5, V.L. Puram Jn, M.S. Narayana Street, Rajahmundry-533107",533103,Pediatric Hospital,Proprietary,3.3
90,Adarsh Hospital,Gujarat,Surat,"16-23, Suryakiran Appartments,Ghoddod Road, Surat-395007.",395007,Cardiology Center,Government,4
91,Adarsh Hospital,Maharashtra,Mumbai,"Meenakshi Apartments,C - Wing, 1St Floor, Marve Road,Maladmalad (W)",400064,Maternity Hospital or Birthing Center,Government,4.8
92,Adarsh Hospital,Maharashtra,Pune,"Sn 11/12,Kondhwa Budruk,Near Katraj Khondwa Road,Near Kaveri Apartments",411048,"ENT Clinic -Ear, Nose, and Throat",Government,5
93,Adarsh Nursing Home,Karnataka,Bellary,"Gopalswamy Road,Gandhinagar",583103,Pediatric Hospital,Private,4.6
94,Adarsha Hospital,Karnataka,Kundapur,"# 274/Vi, N.H. # 17, Kundapura, Udapi-576201Udupi- 576201",576201,Eye Hospital or Ophthalmology Clinic,Government,4.2
95,Adarsha Hospital Udupi,Karnataka,Udupi,"Near K.S.R.T.C Bus Stand, Udupi",576101,Psychiatric Hospital or Mental Health Clinic,Private,3.2
96,Adarsha Nethralayam,Andhra Pradesh,Warangal,"9-5-53, Mandibazar, Warangal, A.P",506002,Maternity Hospital or Birthing Center,Private,5
97,Adarsha Nursing Home,Karnataka,Tumkur,Sharadadevi Nagaropp Mg Stadium,572103,General Hospital,Private,3.5
98,Adavally Damodar Reddy Memorial Hospital,Andhra Pradesh,Himayatnagar,"3-97, Sharadanagar, Ramanthapur,Ranfa Reddy.",500013,Maternity Hospital or Birthing Center,Private,3.6
99,Add Hospital Pvt Ltd,Orissa,Cuttack,Junus Patna College Square,753003,"ENT Clinic -Ear, Nose, and Throat",Private,4.5
100,Adesh Hospital & Research Centre,Punjab,Muktsar,Kotkapura Road Sri Muktsar Sahibmuktsar,152026,Dental Clinic,Proprietary,3.7
101,Adichunchanagiri Hospital & Research,Karnataka,Mandya,"Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist, Mandya-571448Nagamangala Taluk, Mandya Dist",571448,General Hospital,Private,4
102,Adilakshmi Nursing Home,Andhra Pradesh,Guntur,"G.B.C. Raod, Ponnur.",522124,Cancer Treatment Center or Oncology Hospital,Private,4.4
103,Adinath Hospital,Uttar Pradesh,Ghaziabad,Plot No 330 Gyan Khand 1 Indirapuram Ghaziabad,201010,Cardiology Center,Voluntary non-profit ,4.5
104,Adithi Maternity And General Nursing Home,Karnataka,Bangalore,"#78,Omkarnagar, B.G. Road.",560076,Pediatric Hospital,Government,4.4
105,Adithya Nursing Home,Karnataka,Ramanagaram,57 Opp Junior College Ramanagaram,571511,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.1
106,Adithya Speciality Hospital,Tamilnadu,Madurai,"277, G.S.T Main Road, Near Harveypatty Bus Stop, Thirunagar, Madurai - 625006",625006,Dental Clinic,Voluntary non-profit ,3.3
107,Aditi Hosptial,Karnataka,Bangalore,"Gandhi Square Newpet,Anekal",562106,Dental Clinic,Private,3.2
108,Aditi Medical Centre,Uttar Pradesh,Ghaziabad,"Sector-4, Plot No-117, Near Ramlila Ground.",201012,Orthopedic Hospital or Clinic,Private,3.6
109,Adittya Eye Clinic,Maharashtra,Mumbai,"M.G.Road, Ronik Apts, 1St Floor,Kandival(W)",400067,"ENT Clinic -Ear, Nose, and Throat",Government,4.6
110,Aditya Care Hospital,Orissa,Khurda,"329/1929(P),Chandrasekharpur,Khurdha",751014,Orthopedic Hospital or Clinic,Private,4.9
111,Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd),Assam,Dibrugarh,"AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",786005,Maternity Hospital or Birthing Center,Proprietary,4
112,Aditya Eye Clinic And Contact Lens Centre,Maharashtra,Pune,"Office # 1A,Kumar Plaza,M.G.Road,",411001,Orthopedic Hospital or Clinic,Private,4.7
113,Aditya Eye Hospital,Kerala,Ernakulam,"Judge Mukku, Thrikkakara, Kochi-682021",682021,Psychiatric Hospital or Mental Health Clinic,Private,3.8
114,Aditya Health Research Foundation (P) Ltd,West Bengal,Kolkata,"965, Jessore Road, Dumdum,Kolkata",700055,Pediatric Hospital,Proprietary,3.3
115,Aditya Hospital,Andhra Pradesh,Hyderabad,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad-500001Abids",500001,Dental Clinic,Government,3.8
116,Aditya Hospital,Tamilnadu,Chennai,"No.7, Barnbay Road, Kilpauk, Chennai-600010",600010,General Hospital,Proprietary,3.8
117,Aditya Jyot Eye Hospital (P) Ltd.,Maharashtra,Mumbai,"Plot # 153,Mojar Parmeshwaranroad (Opp) Siws Collage Gate #",400031,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.1
118,Aditya Medical Park (A Unit Of Aditya Health Research Foundation Pvt Ltd),West Bengal,Kolkata,"Taki Road, Kadambagachi, Barasat, 24 Parganas (N)Barasat-700124",700124,Orthopedic Hospital or Clinic,Proprietary,4.5
119,Aditya Multi Care Hospital,Andhra Pradesh,Visakhapatnam,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",530002,Psychiatric Hospital or Mental Health Clinic,Government,3.4
120,Aditya Multispeciality Hospital,Andhra Pradesh,Warangal,"Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",506001,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.6
121,Aditya Netralaya,Karnataka,Bangalore,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari, Bangalore-560085",560085,Maternity Hospital or Birthing Center,Government,4.5
122,Aditya Nursing Home,Andhra Pradesh,Kurnool,"No.1/541-135,Aas College Road,Adoni,",518302,Pediatric Hospital,Voluntary non-profit ,4.8
123,Aditya Nursing Home,Madhya Pradesh,Indore,"#315, Usha Nagar Extension.",452009,Maternity Hospital or Birthing Center,Private,4.7
124,Aditya Orthopaedic & Trauma Centre,Karnataka,Tumkur,"Sri Shivakumar Swamy Circle, Bh Raod Tumkur-2",572102,Psychiatric Hospital or Mental Health Clinic,Private,4.5
125,Aditya Orthopaedic Hospital,Gujarat,Ahmedabad,"#201,202,Aditya Plaza,Jodhpur Road,Satellite",380015,"ENT Clinic -Ear, Nose, and Throat",Government,4
126,Adityaj Hospital,Punjab,Mohali,"S.C.O.18,(F.F),Phase-1,S.A.S,Nagar",160055,Pediatric Hospital,Proprietary,4.2
127,Adiva Hospital Pvt. Ltd.,Delhi,Delhi,C- 1/C Green Park Ext,110017,Cancer Treatment Center or Oncology Hospital,Proprietary,4.8
128,Adr Hospital,Andhra Pradesh,Hyderabad,"H.No. 4-112/1, Anand Bagh, Malkajgiri, Hyderabad-500047",500047,Cardiology Center,Voluntary non-profit ,4.9
129,Advance Mother And Child Care Center,Punjab,Mohali,"#67, Kalgidhar Enclave, Near Shiv Mandir, Hdfc Bank, Baltana, Zirakpur, Mohali, Punjab",140604,Pediatric Hospital,Private,3.2
130,"Advanced Neurology & Superspeciality Hospital, Jaipur",Rajasthan,Jaipur,"D-358, Brain Tower, Malviyanagar, Jaipur-302017",302017,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.3
131,Adventist Wockardt Heart Hospital,Gujarat,Surat,24 Athwalines Surat,395006,Maternity Hospital or Birthing Center,Government,3.1
132,Adyar P.M. Hospital,Tamilnadu,Chennai,"# 58, L.B. Road, Adyar, Chennai-600020Chennai",600020,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.5
133,Aeinullah Eye Hospital,Karnataka,Bangalore,"#90, Austin Town Layout, Near B.D.A Shopping Complex.",560047,Maternity Hospital or Birthing Center,Government,5
134,Agadi Hospital & Research Centre,Karnataka,Bangalore,"35, H Siddhaiah Road, Wilson Garden, Bangalore-560027Wilson Garden",560017,General Hospital,Private,3.4
135,Agarwal Maternity & General Hospital,Maharashtra,Pune,"S/N.45/1,2 & 5,Sangarsh Chowk,Kharadi Road,Chandannagar,",411014,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.9
136,Agarwal Medical Centre,Delhi,Delhi,"E-234, Greater Kailash, Delhi-110048",110048,Dental Clinic,Private,3.8
137,Agarwal Nursing Home,Haryana,Kurukshetra,"Salarpur Road, Kurukshetra, Haryana",136118,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,4.2
138,Agarwal Nursing Home,Maharashtra,Mumbai,"4Th Floor,Shanti Centre, Plot # 8,Sec-17,Vashi,Navi Mumbai,Vashi, Navi Mumbai-400703",400703,Pediatric Hospital,Voluntary non-profit ,4.6
139,Agash Nursing Home,Tamilnadu,Chennai,"#234, G.S.T. Road, Chromepet",600044,Cardiology Center,Government,4.2
140,Aggarwal Eye Hospital,Maharashtra,Mumbai,"No.102/5,Ketayan Mansion,Shahaji Raje Marg,Koldongri,Andheri(E),Sahaje Raje Marg, Koldongri,",400069,General Hospital,Proprietary,4.7
141,Aggarwal Medical Centre,Haryana,Faridabad,"Jiwan Nagar, Gaunchi, Sector-55. Haryana , Faridabad",121004,Dental Clinic,Private,3.6
142,Aggarwal Nursing Home,Delhi,Delhi,"2528/192,Tri Nagar,Tota Ram Bazar",110035,Cancer Treatment Center or Oncology Hospital,Government,4.1
143,Agile Hospital Pvt. Ltd,Assam,Guwahati,"Tripura Road, Jayanagar Chariali, Guwahati, Kamrup, Assam, Opposite Sbi, Iibm Branch.",781022,Orthopedic Hospital or Clinic,Private,5
144,Agrawal Clinic Surgical & General Hospital With Icu,Maharashtra,Mumbai,"49, Daftary Road, Malad (East), Mumbai, Maharashtra, Opp. Subhash Lane.",400097,General Hospital,Government,3.8
145,Agrawal Eye Hospital,Uttar Pradesh,Meerut,61 Shivaji Road Near Nas College,250001,Orthopedic Hospital or Clinic,Government,4.9
146,Agrawal Eye Hospital,Maharashtra,Mumbai,"1St Floor, Maharaja Apartment, Opp. Tel. Exchange, S.V. Road, Malad (West) Mumbai-400064",400064,Pediatric Hospital,Private,4.7
147,Agrawal Eye Institute,Delhi,Delhi,"A-235,Shivalik,Malviya Nagar",110017,Orthopedic Hospital or Clinic,Private,3.5
148,Agrawal Hospital,Gujarat,Patan,"5Th Lane,First Floor,Kilachand Centre,Station Road",384265,Orthopedic Hospital or Clinic,Private,3.8
149,Agrawal Hospital,Madhya Pradesh,Bhopal,"E-3/15, Opp Habibganj Railway Stn, Arera Colony, Bopal,Mp-462016",462016,Cancer Treatment Center or Oncology Hospital,Government,3.9
150,Agrawal Hospital (A Unit Of Agrawal Institute Of Medical Sciences Pvt,Chattisgarh,Raipur,"Near Rajkumar College, G.E. Road.",492001,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,4.6
151,Agrawal Nursing Home,Maharashtra,Mumbai,"Bombay Market, St.Road, Bhayander West,Bhayander, Thane",401104,Cardiology Center,Proprietary,3.8
152,Ahalia Foundation Eye Hospital,Kerala,Palakkad,"1/1053, Elappully.",678557,Cardiology Center,Proprietary,4.3
153,Ahalya Nursing Home,Andhra Pradesh,Guntur,"Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",522002,Maternity Hospital or Birthing Center,Proprietary,4.3
154,Ahalyadevi Nursing Home,Andhra Pradesh,Nellore,"16-1-712, Near Nehru State, Trunk Road.",524003,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.6
155,Ahirkar Hospital,Maharashtra,Bhiwandi,"Near Ratan Cinema Narpoli,Bhiwandi,Thane",421302,Orthopedic Hospital or Clinic,Private,4.9
156,Ahmed Hospital,Haryana,Gurgaon,"Sector-15,Part-2.",122001,Cancer Treatment Center or Oncology Hospital,Proprietary,3.2
157,Ahmed Hospitals,Jammu & Kashmir,Srinagar,"Gulshan Nagar,Byepass,Nowgam",190008,Cardiology Center,Proprietary,3.6
